source,target_rel,case_id,case_name,citation,year,changed
"/Users/ronaldchapman/Library/Mobile Documents/iCloud~md~obsidian/Documents/Supreme Court/Ontology/precedent_vault/cases/scotus/2011/Duane Edward Buck v. Rick Thaler, Director, Texas Department of Criminal Justice, Correctional Institutions Division, 565 U.S. ____ (2011).md","2011/Duane Edward Buck v. Rick Thaler, Director, Texas Department of Criminal Justice, Correctional Institutions Division, 565 U.S. ____ (2011).md",us.scotus.2011.duane_edward_buck.116391,"Duane Edward Buck v. Rick Thaler, Director, Texas Department of Criminal Justice, Correctional Institutions Division",565 U.S. ____,2011,False
"/Users/ronaldchapman/Library/Mobile Documents/iCloud~md~obsidian/Documents/Supreme Court/Ontology/precedent_vault/cases/scotus/2011/Greene, Aka Trice v. Fisher, Superintendent, State Correctional Institution At Smithfield, et al, 565 U.S. ____ (2011) [us.scotus.2011.greene_aka_trice.10637].md","2011/Greene, Aka Trice v. Fisher, Superintendent, State Correctional Institution At Smithfield, et al, 565 U.S. ____ (2011).md",us.scotus.2011.greene_aka_trice.10637,"Greene, Aka Trice v. Fisher, Superintendent, State Correctional Institution At Smithfield, et al",565 U.S. ____,2011,True
"/Users/ronaldchapman/Library/Mobile Documents/iCloud~md~obsidian/Documents/Supreme Court/Ontology/precedent_vault/cases/scotus/2011/Habermann, Charles T. v. United States, 506 U.S. 1 (2011).md","2011/Habermann, Charles T. v. United States, 506 U.S. 1 (2011).md",us.scotus.2011.11_393.506us1,"Habermann, Charles T. v. United States",506 U.S. 1,2011,False
"/Users/ronaldchapman/Library/Mobile Documents/iCloud~md~obsidian/Documents/Supreme Court/Ontology/precedent_vault/cases/scotus/2011/Javier Cavazos, Acting Warden v. Shirley Ree Smith, 565 U.S. ____ (2011).md","2011/Javier Cavazos, Acting Warden v. Shirley Ree Smith, 565 U.S. ____ (2011).md",us.scotus.2011.javier_cavazos_acting_warden.101115,"Javier Cavazos, Acting Warden v. Shirley Ree Smith",565 U.S. ____,2011,False
"/Users/ronaldchapman/Library/Mobile Documents/iCloud~md~obsidian/Documents/Supreme Court/Ontology/precedent_vault/cases/scotus/2011/Judulang v. Holder, Attorney General, Unknown citation (2011).md","2011/Judulang v. Holder, Attorney General, Unknown citation (2011).md",us.scotus.2011.judulang.10694,"Judulang v. Holder, Attorney General",Unknown citation,2011,False
"/Users/ronaldchapman/Library/Mobile Documents/iCloud~md~obsidian/Documents/Supreme Court/Ontology/precedent_vault/cases/scotus/2011/Kpmg Llp v. Robert Cocchi et al, 565 U.S. ____ (2011) [us.scotus.2011.kpmg_llp.101521].md","2011/Kpmg Llp v. Robert Cocchi et al, 565 U.S. ____ (2011).md",us.scotus.2011.kpmg_llp.101521,Kpmg Llp v. Robert Cocchi et al,565 U.S. ____,2011,True
"/Users/ronaldchapman/Library/Mobile Documents/iCloud~md~obsidian/Documents/Supreme Court/Ontology/precedent_vault/cases/scotus/2011/Lee, Yong I., et al. v. Central Presbytery, 506 U.S. 1 (2011).md","2011/Lee, Yong I., et al. v. Central Presbytery, 506 U.S. 1 (2011).md",us.scotus.2011.10_1115.506us1,"Lee, Yong I., et al. v. Central Presbytery",506 U.S. 1,2011,False
"/Users/ronaldchapman/Library/Mobile Documents/iCloud~md~obsidian/Documents/Supreme Court/Ontology/precedent_vault/cases/scotus/2011/Marcus Hardy, Warden v. Irving L. Cross, 565 U.S. ____ (2011).md","2011/Marcus Hardy, Warden v. Irving L. Cross, 565 U.S. ____ (2011).md",us.scotus.2011.marcus_hardy_warden.1174,"Marcus Hardy, Warden v. Irving L. Cross",565 U.S. ____,2011,False
"/Users/ronaldchapman/Library/Mobile Documents/iCloud~md~obsidian/Documents/Supreme Court/Ontology/precedent_vault/cases/scotus/2011/Mcfadden, Dwayne v. United States, Unknown citation (2011).md","2011/Mcfadden, Dwayne v. United States, Unknown citation (2011).md",us.scotus.2011.11_88.1188,"Mcfadden, Dwayne v. United States",Unknown citation,2011,False
"/Users/ronaldchapman/Library/Mobile Documents/iCloud~md~obsidian/Documents/Supreme Court/Ontology/precedent_vault/cases/scotus/2011/Utah Highway Patrol Assn. v. American Atheists, Inc, 565 U.S. ____ (2011).md","2011/Utah Highway Patrol Assn. v. American Atheists, Inc, 565 U.S. ____ (2011).md",us.scotus.2011.10_1276.101276,"Utah Highway Patrol Assn. v. American Atheists, Inc",565 U.S. ____,2011,False
"/Users/ronaldchapman/Library/Mobile Documents/iCloud~md~obsidian/Documents/Supreme Court/Ontology/precedent_vault/cases/scotus/2012/Alexander v. Asquez v. United States on Writ of, 566 U.S. ____ (2012).md","2012/Alexander v. Asquez v. United States on Writ of, 566 U.S. ____ (2012).md",us.scotus.2012.alexander_vasquez_petitioner.11199,Alexander v. Asquez v. United States on Writ of,566 U.S. ____,2012,False
"/Users/ronaldchapman/Library/Mobile Documents/iCloud~md~obsidian/Documents/Supreme Court/Ontology/precedent_vault/cases/scotus/2012/Anthony Cardell Haynes v. Rick Thaler, Di- Rector, Texas Department of Criminal Jus- Tice, Correctional Institutions Division, 535 U.S. 999 (2012).md","2012/Anthony Cardell Haynes v. Rick Thaler, Di- Rector, Texas Department of Criminal Jus- Tice, Correctional Institutions Division, 535 U.S. 999 (2012).md",us.scotus.2012.anthony_cardell_haynes.535us999,"Anthony Cardell Haynes v. Rick Thaler, Di- Rector, Texas Department of Criminal Jus- Tice, Correctional Institutions Division",535 U.S. 999,2012,False
"/Users/ronaldchapman/Library/Mobile Documents/iCloud~md~obsidian/Documents/Supreme Court/Ontology/precedent_vault/cases/scotus/2012/Anthony Cardell Haynes v. Rick Thaler, Di- Rector, Texas Department of Criminal Jus- Tice, Correctional Institutions Division, 568 U.S. ____ (2012).md","2012/Anthony Cardell Haynes v. Rick Thaler, Di- Rector, Texas Department of Criminal Jus- Tice, Correctional Institutions Division, 568 U.S. ____ (2012).md",us.scotus.2012.anthony_cardell_haynes.126760,"Anthony Cardell Haynes v. Rick Thaler, Di- Rector, Texas Department of Criminal Jus- Tice, Correctional Institutions Division",568 U.S. ____,2012,False
"/Users/ronaldchapman/Library/Mobile Documents/iCloud~md~obsidian/Documents/Supreme Court/Ontology/precedent_vault/cases/scotus/2012/Arizona et al. v. United States, 200 U.S. 321 (2012).md","2012/Arizona et al. v. United States, 200 U.S. 321 (2012).md",us.scotus.2012.arizona_et_al.200us321,Arizona et al. v. United States,200 U.S. 321,2012,False
"/Users/ronaldchapman/Library/Mobile Documents/iCloud~md~obsidian/Documents/Supreme Court/Ontology/precedent_vault/cases/scotus/2012/Arkansas Game and Fish Commission v. United States, 200 U.S. 321 (2012).md","2012/Arkansas Game and Fish Commission v. United States, 200 U.S. 321 (2012).md",us.scotus.2012.arkansas_game_and_fish_commissio.200us321,Arkansas Game and Fish Commission v. United States,200 U.S. 321,2012,False
"/Users/ronaldchapman/Library/Mobile Documents/iCloud~md~obsidian/Documents/Supreme Court/Ontology/precedent_vault/cases/scotus/2012/Armour et al. v. City of Indianapolis, Indiana, et al, 200 U.S. 321 (2012) [us.scotus.2012.armour_et_al.200us321].md","2012/Armour et al. v. City of Indianapolis, Indiana, et al, 200 U.S. 321 (2012).md",us.scotus.2012.armour_et_al.200us321,"Armour et al. v. City of Indianapolis, Indiana, et al",200 U.S. 321,2012,True
"/Users/ronaldchapman/Library/Mobile Documents/iCloud~md~obsidian/Documents/Supreme Court/Ontology/precedent_vault/cases/scotus/2012/Astrue, Commissioner of Social Security v. Capato, on Behalf of B. N. C. et al, 200 U.S. 321 (2012) [us.scotus.2012.astrue_commissioner_of_social_se.200us321].md","2012/Astrue, Commissioner of Social Security v. Capato, on Behalf of B. N. C. et al, 200 U.S. 321 (2012).md",us.scotus.2012.astrue_commissioner_of_social_se.200us321,"Astrue, Commissioner of Social Security v. Capato, on Behalf of B. N. C. et al",200 U.S. 321,2012,True
"/Users/ronaldchapman/Library/Mobile Documents/iCloud~md~obsidian/Documents/Supreme Court/Ontology/precedent_vault/cases/scotus/2012/Benny Lee Hodge v. Kentucky, 529 U.S. 362 (2012).md","2012/Benny Lee Hodge v. Kentucky, 529 U.S. 362 (2012).md",us.scotus.2012.benny_lee_hodge.529us362,Benny Lee Hodge v. Kentucky,529 U.S. 362,2012,False
"/Users/ronaldchapman/Library/Mobile Documents/iCloud~md~obsidian/Documents/Supreme Court/Ontology/precedent_vault/cases/scotus/2012/Blueford v. Arkansas, 200 U.S. 321 (2012).md","2012/Blueford v. Arkansas, 200 U.S. 321 (2012).md",us.scotus.2012.blueford.200us321,Blueford v. Arkansas,200 U.S. 321,2012,False
"/Users/ronaldchapman/Library/Mobile Documents/iCloud~md~obsidian/Documents/Supreme Court/Ontology/precedent_vault/cases/scotus/2012/Brenda Cash, Acting Warden v. Bobby Joe Maxwell, 565 U.S. ____ (2012).md","2012/Brenda Cash, Acting Warden v. Bobby Joe Maxwell, 565 U.S. ____ (2012).md",us.scotus.2012.brenda_cash_acting_warden.101548,"Brenda Cash, Acting Warden v. Bobby Joe Maxwell",565 U.S. ____,2012,False
"/Users/ronaldchapman/Library/Mobile Documents/iCloud~md~obsidian/Documents/Supreme Court/Ontology/precedent_vault/cases/scotus/2012/Business et al. v. Sebelius, Secretary of Health and Human Services, et al, 200 U.S. 321 (2012) [us.scotus.2012.business_et_al.200us321].md","2012/Business et al. v. Sebelius, Secretary of Health and Human Services, et al, 200 U.S. 321 (2012).md",us.scotus.2012.business_et_al.200us321,"Business et al. v. Sebelius, Secretary of Health and Human Services, et al",200 U.S. 321,2012,True
"/Users/ronaldchapman/Library/Mobile Documents/iCloud~md~obsidian/Documents/Supreme Court/Ontology/precedent_vault/cases/scotus/2012/Case us.scotus.2012.10_708.10708, 567 U.S. ____ (2012).md","2012/Case us.scotus.2012.10_708.10708, 567 U.S. ____ (2012).md",us.scotus.2012.10_708.10708,Case us.scotus.2012.10_708.10708,567 U.S. ____,2012,False
"/Users/ronaldchapman/Library/Mobile Documents/iCloud~md~obsidian/Documents/Supreme Court/Ontology/precedent_vault/cases/scotus/2012/Case us.scotus.2012.petitioners.111240, 567 U.S. ____ (2012).md","2012/Case us.scotus.2012.petitioners.111240, 567 U.S. ____ (2012).md",us.scotus.2012.petitioners.111240,Case us.scotus.2012.petitioners.111240,567 U.S. ____,2012,False
"/Users/ronaldchapman/Library/Mobile Documents/iCloud~md~obsidian/Documents/Supreme Court/Ontology/precedent_vault/cases/scotus/2012/Case us.scotus.2012.petitioners.438us726, 438 U.S. 726 (2012).md","2012/Case us.scotus.2012.petitioners.438us726, 438 U.S. 726 (2012).md",us.scotus.2012.petitioners.438us726,Case us.scotus.2012.petitioners.438us726,438 U.S. 726,2012,False
"/Users/ronaldchapman/Library/Mobile Documents/iCloud~md~obsidian/Documents/Supreme Court/Ontology/precedent_vault/cases/scotus/2012/Christopher et al. v. Smithkline Beecham Corp., Dba Glaxosmithkline, 200 U.S. 321 (2012).md","2012/Christopher et al. v. Smithkline Beecham Corp., Dba Glaxosmithkline, 200 U.S. 321 (2012).md",us.scotus.2012.christopher_et_al.200us321,"Christopher et al. v. Smithkline Beecham Corp., Dba Glaxosmithkline",200 U.S. 321,2012,False
"/Users/ronaldchapman/Library/Mobile Documents/iCloud~md~obsidian/Documents/Supreme Court/Ontology/precedent_vault/cases/scotus/2012/Church and School v. Equal Employment Opportunity Commission et al, Unknown citation (2012) [us.scotus.2012.church_and_school.10553].md","2012/Church and School v. Equal Employment Opportunity Commission et al, Unknown citation (2012).md",us.scotus.2012.church_and_school.10553,Church and School v. Equal Employment Opportunity Commission et al,Unknown citation,2012,True
"/Users/ronaldchapman/Library/Mobile Documents/iCloud~md~obsidian/Documents/Supreme Court/Ontology/precedent_vault/cases/scotus/2012/Coleman v. Court of Appeals of Maryland et al, 200 U.S. 321 (2012) [us.scotus.2012.coleman.200us321].md","2012/Coleman v. Court of Appeals of Maryland et al, 200 U.S. 321 (2012).md",us.scotus.2012.coleman.200us321,Coleman v. Court of Appeals of Maryland et al,200 U.S. 321,2012,True
